course_model_id,question_id,weight
1,1,0.06578947368421052
2,1,0.030303030303030304
3,1,0.030303030303030304
4,1,0.01694915254237288
5,1,0.046875
6,1,0.046153846153846156
7,1,0.05084745762711865
8,1,0.04477611940298507
9,1,0.07462686567164178
10,1,0.04838709677419355
11,1,0.07462686567164178
12,1,0.07575757575757576
13,1,0.045454545454545456
14,1,0.046153846153846156
15,1,0.07936507936507936
16,1,0.046875
17,1,0.04411764705882353
18,1,0.016666666666666666
1,2,0.039473684210526314
2,2,0.06060606060606061
3,2,0.07575757575757576
4,2,0.06779661016949153
5,2,0.046875
6,2,0.046153846153846156
7,2,0.05084745762711865
8,2,0.04477611940298507
9,2,0.04477611940298507
10,2,0.04838709677419355
11,2,0.04477611940298507
12,2,0.045454545454545456
13,2,0.045454545454545456
14,2,0.046153846153846156
15,2,0.047619047619047616
16,2,0.046875
17,2,0.04411764705882353
18,2,0.06666666666666667
1,3,0.06578947368421052
2,3,0.015151515151515152
3,3,0.06060606060606061
4,3,0.0847457627118644
5,3,0.046875
6,3,0.06153846153846154
7,3,0.05084745762711865
8,3,0.04477611940298507
9,3,0.05970149253731343
10,3,0.08064516129032258
11,3,0.04477611940298507
12,3,0.045454545454545456
13,3,0.06060606060606061
14,3,0.046153846153846156
15,3,0.047619047619047616
16,3,0.078125
17,3,0.058823529411764705
18,3,0.08333333333333333
1,4,0.039473684210526314
2,4,0.045454545454545456
3,4,0.045454545454545456
4,4,0.01694915254237288
5,4,0.046875
6,4,0.07692307692307693
7,4,0.05084745762711865
8,4,0.05970149253731343
9,4,0.04477611940298507
10,4,0.016129032258064516
11,4,0.04477611940298507
12,4,0.045454545454545456
13,4,0.045454545454545456
14,4,0.046153846153846156
15,4,0.047619047619047616
16,4,0.046875
17,4,0.04411764705882353
18,4,0.016666666666666666
1,5,0.05263157894736842
2,5,0.045454545454545456
3,5,0.045454545454545456
4,5,0.05084745762711865
5,5,0.046875
6,5,0.046153846153846156
7,5,0.0847457627118644
8,5,0.04477611940298507
9,5,0.04477611940298507
10,5,0.04838709677419355
11,5,0.04477611940298507
12,5,0.045454545454545456
13,5,0.045454545454545456
14,5,0.046153846153846156
15,5,0.047619047619047616
16,5,0.046875
17,5,0.04411764705882353
18,5,0.05
1,6,0.06578947368421052
2,6,0.07575757575757576
3,6,0.07575757575757576
4,6,0.0847457627118644
5,6,0.0625
6,6,0.046153846153846156
7,6,0.05084745762711865
8,6,0.07462686567164178
9,6,0.07462686567164178
10,6,0.08064516129032258
11,6,0.07462686567164178
12,6,0.06060606060606061
13,6,0.07575757575757576
14,6,0.06153846153846154
15,6,0.047619047619047616
16,6,0.078125
17,6,0.07352941176470588
18,6,0.08333333333333333
1,7,0.039473684210526314
2,7,0.030303030303030304
3,7,0.030303030303030304
4,7,0.01694915254237288
5,7,0.046875
6,7,0.046153846153846156
7,7,0.05084745762711865
8,7,0.04477611940298507
9,7,0.07462686567164178
10,7,0.04838709677419355
11,7,0.04477611940298507
12,7,0.045454545454545456
13,7,0.045454545454545456
14,7,0.046153846153846156
15,7,0.07936507936507936
16,7,0.046875
17,7,0.04411764705882353
18,7,0.016666666666666666
1,8,0.06578947368421052
2,8,0.07575757575757576
3,8,0.07575757575757576
4,8,0.0847457627118644
5,8,0.0625
6,8,0.046153846153846156
7,8,0.05084745762711865
8,8,0.05970149253731343
9,8,0.07462686567164178
10,8,0.08064516129032258
11,8,0.07462686567164178
12,8,0.06060606060606061
13,8,0.07575757575757576
14,8,0.06153846153846154
15,8,0.047619047619047616
16,8,0.078125
17,8,0.07352941176470588
18,8,0.08333333333333333
1,9,0.05263157894736842
2,9,0.045454545454545456
3,9,0.045454545454545456
4,9,0.05084745762711865
5,9,0.046875
6,9,0.046153846153846156
7,9,0.06779661016949153
8,9,0.04477611940298507
9,9,0.05970149253731343
10,9,0.06451612903225806
11,9,0.07462686567164178
12,9,0.06060606060606061
13,9,0.045454545454545456
14,9,0.046153846153846156
15,9,0.06349206349206349
16,9,0.0625
17,9,0.058823529411764705
18,9,0.05
1,10,0.06578947368421052
2,10,0.045454545454545456
3,10,0.045454545454545456
4,10,0.05084745762711865
5,10,0.0625
6,10,0.06153846153846154
7,10,0.05084745762711865
8,10,0.07462686567164178
9,10,0.04477611940298507
10,10,0.04838709677419355
11,10,0.05970149253731343
12,10,0.07575757575757576
13,10,0.045454545454545456
14,10,0.046153846153846156
15,10,0.07936507936507936
16,10,0.046875
17,10,0.07352941176470588
18,10,0.05
1,11,0.06578947368421052
2,11,0.07575757575757576
3,11,0.07575757575757576
4,11,0.0847457627118644
5,11,0.0625
6,11,0.046153846153846156
7,11,0.05084745762711865
8,11,0.05970149253731343
9,11,0.07462686567164178
10,11,0.08064516129032258
11,11,0.07462686567164178
12,11,0.06060606060606061
13,11,0.07575757575757576
14,11,0.06153846153846154
15,11,0.047619047619047616
16,11,0.078125
17,11,0.07352941176470588
18,11,0.08333333333333333
1,12,0.06578947368421052
2,12,0.045454545454545456
3,12,0.045454545454545456
4,12,0.05084745762711865
5,12,0.046875
6,12,0.07692307692307693
7,12,0.05084745762711865
8,12,0.04477611940298507
9,12,0.04477611940298507
10,12,0.04838709677419355
11,12,0.04477611940298507
12,12,0.045454545454545456
13,12,0.045454545454545456
14,12,0.07692307692307693
15,12,0.047619047619047616
16,12,0.046875
17,12,0.04411764705882353
18,12,0.05
1,13,0.039473684210526314
2,13,0.06060606060606061
3,13,0.045454545454545456
4,13,0.05084745762711865
5,13,0.078125
6,13,0.046153846153846156
7,13,0.06779661016949153
8,13,0.04477611940298507
9,13,0.04477611940298507
10,13,0.04838709677419355
11,13,0.05970149253731343
12,13,0.045454545454545456
13,13,0.045454545454545456
14,13,0.046153846153846156
15,13,0.047619047619047616
16,13,0.046875
17,13,0.04411764705882353
18,13,0.05
1,14,0.05263157894736842
2,14,0.07575757575757576
3,14,0.07575757575757576
4,14,0.05084745762711865
5,14,0.078125
6,14,0.07692307692307693
7,14,0.05084745762711865
8,14,0.07462686567164178
9,14,0.05970149253731343
10,14,0.04838709677419355
11,14,0.04477611940298507
12,14,0.045454545454545456
13,14,0.045454545454545456
14,14,0.07692307692307693
15,14,0.047619047619047616
16,14,0.046875
17,14,0.04411764705882353
18,14,0.05
1,15,0.06578947368421052
2,15,0.07575757575757576
3,15,0.07575757575757576
4,15,0.06779661016949153
5,15,0.078125
6,15,0.07692307692307693
7,15,0.06779661016949153
8,15,0.07462686567164178
9,15,0.04477611940298507
10,15,0.06451612903225806
11,15,0.05970149253731343
12,15,0.07575757575757576
13,15,0.06060606060606061
14,15,0.07692307692307693
15,15,0.07936507936507936
16,15,0.0625
17,15,0.07352941176470588
18,15,0.06666666666666667
1,16,0.039473684210526314
2,16,0.07575757575757576
3,16,0.045454545454545456
4,16,0.05084745762711865
5,16,0.046875
6,16,0.046153846153846156
7,16,0.05084745762711865
8,16,0.04477611940298507
9,16,0.04477611940298507
10,16,0.04838709677419355
11,16,0.04477611940298507
12,16,0.045454545454545456
13,16,0.045454545454545456
14,16,0.046153846153846156
15,16,0.047619047619047616
16,16,0.046875
17,16,0.04411764705882353
18,16,0.05
1,17,0.05263157894736842
2,17,0.06060606060606061
3,17,0.045454545454545456
4,17,0.05084745762711865
5,17,0.046875
6,17,0.06153846153846154
7,17,0.05084745762711865
8,17,0.07462686567164178
9,17,0.04477611940298507
10,17,0.04838709677419355
11,17,0.04477611940298507
12,17,0.07575757575757576
13,17,0.07575757575757576
14,17,0.046153846153846156
15,17,0.047619047619047616
16,17,0.046875
17,17,0.07352941176470588
18,17,0.05
1,18,0.06578947368421052
2,18,0.06060606060606061
3,18,0.06060606060606061
4,18,0.06779661016949153
5,18,0.046875
6,18,0.046153846153846156
7,18,0.05084745762711865
8,18,0.04477611940298507
9,18,0.04477611940298507
10,18,0.04838709677419355
11,18,0.04477611940298507
12,18,0.045454545454545456
13,18,0.07575757575757576
14,18,0.07692307692307693
15,18,0.047619047619047616
16,18,0.046875
17,18,0.04411764705882353
18,18,0.08333333333333333
